Priority;Article;URL;Source file;Recommended infographic type;Main reason;Volatile data present;Manual verification needed
PRIORITY A;Zakynthos Travel Costs;https://milesandflavors.com/zakynthos-travel-costs/;D:\Travel blog\Zakynthos\zakynthos-travel-costs-HTML.txt;Budget and spending framework;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY B;25 Best Things to Do in NYC;https://milesandflavors.com/25-best-things-to-do-in-nyc/;D:\Travel blog\New York\nyc-best-things-to-do-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Amalfi Coast Bucket List;https://milesandflavors.com/amalfi-coast-bucketlist-25-best-thing-to-do/;D:\Travel blog\Amalfi Coast\best-things-to-do.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Amsterdam Bucket List;https://milesandflavors.com/amsterdam-bucket-list/;D:\Travel blog\Amsterdam\amsterdam-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Amsterdam Light Festival;https://milesandflavors.com/amsterdam-light-festival/;D:\Travel blog\Amsterdam\amsterdam-light-festival-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Amsterdam Winter Bucket List;https://milesandflavors.com/amsterdam-winter-bucket-list/;D:\Travel blog\Amsterdam\amsterdam-winter-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Amsterdam with a Toddler;https://milesandflavors.com/amsterdam-with-a-toddler/;D:\Travel blog\Amsterdam\amsterdam-with-a-toddler-HTML.txt;Family-friendly decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Art Institute of Chicago Free Days;https://milesandflavors.com/art-institute-chicago-free-days/;D:\Travel blog\Chicago\art-institute-chicago-free-days-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Azores Whale Watching;https://milesandflavors.com/azores-whale-watching/;D:\Travel blog\Azores\azores-whale-watching-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Barcelona Bucket List;https://milesandflavors.com/barcelona-bucket-list/;D:\Travel blog\Barcelona\Barcelona-Bucket-List.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Barcelona Winter Bucket List;https://milesandflavors.com/barcelona-winter-bucket-list/;D:\Travel blog\Barcelona\barcelona-winter-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Beaches in Zakynthos;https://milesandflavors.com/best-beaches-in-zakynthos/;D:\Travel blog\Zakynthos\best-beaches-zakynthos-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Canal Cruises in Amsterdam;https://milesandflavors.com/best-canal-cruises-in-amsterdam/;D:\Travel blog\Amsterdam\best-canal-cruises-amsterdam-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Florida Christmas Towns;https://milesandflavors.com/best-florida-christmas-towns/;D:\Travel blog\Master prompt\best-florida-christmas-towns-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in Barcelona for Couples;https://milesandflavors.com/best-things-to-do-in-barcelona-for-couples/;D:\Travel blog\Barcelona\best-things-to-do-barcelona-couples-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in Brooklyn;https://milesandflavors.com/best-things-to-do-in-brooklyn/;D:\Travel blog\New York\best-things-to-do-brooklyn-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in Chicago for First-Timers;https://milesandflavors.com/best-things-to-do-in-chicago/;D:\Travel blog\Chicago\best-things-to-do-chicago-first-timers-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;No;Yes
PRIORITY B;Best Things to Do in Kyoto;https://milesandflavors.com/best-things-to-do-in-kyoto/;D:\Travel blog\Japan\best-things-to-do-kyoto.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in Marsa Alam, Egypt;https://milesandflavors.com/best-things-to-do-in-marsa-alam-egypt-including-the-one-that-changes-everything/;D:\Travel blog\Egypt\BestthingstodoMarsa Alam.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in NYC This Weekend;https://milesandflavors.com/things-to-do-in-nyc-this-weekend/;D:\Travel blog\New York\things-to-do-in-nyc-this-weekend-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in Osaka;https://milesandflavors.com/best-things-to-do-in-osaka/;D:\Travel blog\Japan\best-things-to-do-osaka.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Best Things to Do in Rome;https://milesandflavors.com/best-things-to-do-in-rome/;D:\Travel blog\Rome\best-things-to-do-in-rome-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;No;Yes
PRIORITY B;Best Things to Do in Tokyo;https://milesandflavors.com/best-things-to-do-in-tokyo/;D:\Travel blog\Japan\best-things-to-do-tokyo.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Casa Batlló Barcelona;https://milesandflavors.com/casa-batllo-gaudi-trail-barcelona/;D:\Travel blog\Barcelona\casa-batllo-gaudi-trail-barcelona-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Central Park NYC;https://milesandflavors.com/central-park-nyc-guide/;D:\Travel blog\New York\central-park-nyc-guide-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Central Park with Kids;https://milesandflavors.com/central-park-with-kids/;D:\Travel blog\New York\central-park-with-kids-HTML.txt;Family-friendly decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Chicago Bucket List;https://milesandflavors.com/chicago-bucket-list-25-best-things-to-do/;D:\Travel blog\Chicago\ChicAGO BEST THING TO DO.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Chicago Fall Bucket List;https://milesandflavors.com/chicago-fall-bucket-list/;D:\Travel blog\Chicago\chicago-fall-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Chicago Hop-On Hop-Off Bus;https://milesandflavors.com/chicago-hop-on-hop-off/;D:\Travel blog\Chicago\chicago-hop-on-hop-off-guide-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Chicago Riverwalk;https://milesandflavors.com/chicago-riverwalk-free-things-to-do/;D:\Travel blog\Chicago\chicago-riverwalk-free-things-to-do-HTML.txt;Grouped free-experience guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Chicago Winter Bucket List;https://milesandflavors.com/chicago-winter-bucket-list/;D:\Travel blog\Chicago\chicago-winter-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Fall in New York City;https://milesandflavors.com/fall-in-new-york-city/;D:\Travel blog\New York\fall-in-new-york-city-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Free Things to Do in Barcelona;https://milesandflavors.com/free-things-to-do-in-barcelona/;D:\Travel blog\Barcelona\Barcelona-Free_thingstodo.txt;Grouped free-experience guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Free Things to Do in Chicago;https://milesandflavors.com/20-free-things-to-do-in-chicago/;D:\Travel blog\Chicago\freethingtodoin chicago.txt;Grouped free-experience guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Free Things to Do in NYC;https://milesandflavors.com/free-things-to-do-in-nyc/;D:\Travel blog\New York\free-things-to-do-in-nyc-HTML.txt;Grouped free-experience guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Free Things to Do on the Amalfi Coast;https://milesandflavors.com/free-things-to-do-on-the-amalfi-coast/;D:\Travel blog\Amalfi Coast\free-things-to-do.txt;Grouped free-experience guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Gothic Quarter at Night;https://milesandflavors.com/gothic-quarter-barcelona-at-night-safe/;D:\Travel blog\Barcelona\gothic-quarter-barcelona-at-night-safe-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Hiking in the Dolomites;https://milesandflavors.com/hiking-in-the-dolomites/;D:\Travel blog\Dolomites\hiking-in-the-dolomites-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Japan Cherry Blossom Season;https://milesandflavors.com/japan-cherry-blossom-season/;D:\Travel blog\Japan\japan-cherry-blossom-season.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Japan Fall Foliage Guide;https://milesandflavors.com/japan-fall-foliage/;D:\Travel blog\Japan\japan-fall-foliage.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;La Boqueria Market;https://milesandflavors.com/la-boqueria-market-tourist-trap/;D:\Travel blog\Barcelona\la-boqueria-market-tourist-trap-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Millennium Park & Cloud Gate Chicago;https://milesandflavors.com/millennium-park-cloud-gate-chicago/;D:\Travel blog\Chicago\millennium-park-cloud-gate-chicago-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Navy Pier Chicago;https://milesandflavors.com/navy-pier-chicago/;D:\Travel blog\Chicago\navy-pier-chicago-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;NYC Christmas Market;https://milesandflavors.com/nyc-christmas-market/;D:\Travel blog\New York\nyc-christmas-market-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;No;Yes
PRIORITY B;NYC Fall Bucket List;https://milesandflavors.com/nyc-fall-bucket-list/;D:\Travel blog\New York\nyc-fall-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;NYC Halloween with Kids;https://milesandflavors.com/nyc-halloween-with-kids/;D:\Travel blog\New York\nyc-halloween-with-kids-HTML.txt;Family-friendly decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;NYC Hidden Gems;https://milesandflavors.com/nyc-hidden-gems/;D:\Travel blog\New York\nyc-hidden-gems-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;NYC Winter Bucket List;https://milesandflavors.com/nyc-winter-bucket-list/;D:\Travel blog\New York\nyc-winter-bucket-list-HTML.txt;Category-based shortlist;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;One World Observatory NYC;https://milesandflavors.com/one-world-observatory-nyc/;D:\Travel blog\New York\one-world-observatory-nyc-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Park Güell and Sagrada Família;https://milesandflavors.com/park-guell-sagrada-familia-barcelona/;D:\Travel blog\Barcelona\park-guell-sagrada-familia-barcelona-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Ryokan in Japan;https://milesandflavors.com/ryokan-in-japan-what-to-expect/;D:\Travel blog\Japan\ryokan-japan-kyoto-hakone.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Shipwreck Beach Zakynthos;https://milesandflavors.com/shipwreck-beach-zakynthos/;D:\Travel blog\Zakynthos\shipwreck-beach-zakynthos-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;The Chicago Architecture River Cruise;https://milesandflavors.com/chicago-architecture-river-cruise/;D:\Travel blog\Chicago\chicago-architecture-river-cruise-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Things to Do in São Miguel;https://milesandflavors.com/things-to-do-in-sao-miguel/;D:\Travel blog\Azores\things-to-do-in-sao-miguel-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
PRIORITY B;Things to Do in Zakynthos;https://milesandflavors.com/things-to-do-in-zakynthos/;D:\Travel blog\Zakynthos\things-to-do-in-zakynthos-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;No;Yes
PRIORITY B;Times Square NYC;https://milesandflavors.com/times-square-nyc-guide/;D:\Travel blog\New York\times-square-nyc-guide-HTML.txt;Scannable decision guide;The article has enough grouping and decision-support structure to create a useful infographic without forcing a route.;Yes;Yes
